Episode Number,Title,Filename,Excerpt,Tags,Publication Status,Content Length
1,"outgrow_asimov_linkedin","Episode_1_outgrow_asimov_linkedin.md","Isaac Asimov's Laws of Robotics weren't clever because they were poetic. They worked because they were **pre-action**, **hierarchical**, and **non-neg...","Sociable Systems;AI Governance;Newsletter",Ready,3578
2,"liability_sponge","Episode_2__liability_sponge.md","It's usually a variation of **Stop Work Authority.**...","Sociable Systems;AI Governance;Newsletter",Ready,4491
3,"accountability_gap","Episode_3_accountability_gap.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,17303
4,"The_Watchdog_Paradox","Episode_4_The_Watchdog_Paradox.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,3480
5,"The_Calvin_Convention","Episode_5_The_Calvin_Convention.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,5098
6,"Clarke_intro","Episode_6_Clarke_intro.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,8002
7,"Credit_Scoring","Episode_7_Credit_Scoring.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,10244
8,"Insurance_Pricing","Episode_8_Insurance_Pricing.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,10985
9,"Content_Moderation","Episode_9_Content_Moderation.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,10662
10,"Public_Eligibility","Episode_10_Public_Eligibility.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,14277
11,"Between Cycles Proceed","Episode_11_Between Cycles Proceed.md","The Clarke cycle asked a familiar question: What happens when a system becomes too opaque to question?...","Sociable Systems;AI Governance;Newsletter",Ready,3452
12,"crime_was_obedience","Episode_12_crime_was_obedience.md","By the time the problem becomes visible, the system is already in motion.","Sociable Systems;AI Governance;Newsletter",Ready,10663
13,"transparency_polished","Episode_13_transparency_polished.md","When people defend high-stakes automated systems, they almost always reach for the same reassurance:...","Sociable Systems;AI Governance;Newsletter",Ready,5194
14,"human_loop_polished","Episode_14_human_loop_polished.md","There is a phrase that appears in almost every assurance document for high-stakes automated systems:...","Sociable Systems;AI Governance;Newsletter",Ready,5090
15,"output_fact_polished","Episode_15_output_fact_polished.md","There is a moment in every automated system when a suggestion becomes a decision.","Sociable Systems;AI Governance;Newsletter",Ready,5037
16,"right_to_refuse_polished","Episode_16_right_to_refuse_polished.md","By now the pattern should be unmistakable.","Sociable Systems;AI Governance;Newsletter",Ready,5133
17,"kubrick-synthesis-draft","Episode_17_kubrick-synthesis-draft.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,5245
18,"ai_reckoning_lucas_series","Episode_18_ai_reckoning_lucas_series.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,9694
19,"superman_linkedin_lucas","Episode_19_superman_linkedin_lucas.md","---...","Sociable Systems;AI Governance;Newsletter",Ready,5526
20,"The Jedi Council Problem","Episode_20 The Jedi Council Problem.md","The Jedi Council did not rule the galaxy. That’s the mistake everyone makes when they first try to diagnose the problem.","Sociable Systems;AI Governance;Newsletter",Ready,5955
21,"Training the Trainers","Episode_21 Training the Trainers.md","Every system that governs long enough eventually stops governing directly. It trains.","Sociable Systems;AI Governance;Newsletter",Ready,6335
22,"Scaling_Problem_Human","Episode_22 Scaling_Problem_Human.md","January 28, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,8963
23,"The Droid Uprising That Never Happens","Episode_23 The Droid Uprising That Never Happens.md","We keep waiting for the uprising. It’s a comforting fantasy.","Sociable Systems;AI Governance;Newsletter",Ready,5832
24,"The Protocol Droid’s Dilemma","Episode_24 The Protocol Droid’s Dilemma.md","C-3PO was not built to rule. He was built to help: translate, smooth tensions, prevent offense, ensure everyone followed the appropriate forms. No wea...","Sociable Systems;AI Governance;Newsletter",Ready,5970
25,"Lanternlight Between Systems","Episode_25 Lanternlight Between Systems.md","January 30, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,3255
26,"Who Raises Whom","Episode_26 Who Raises Whom.md","By now, the pattern should feel uncomfortably familiar—not because it’s dramatic, but because it’s ordinary.","Sociable Systems;AI Governance;Newsletter",Ready,5487
27,"Raise the Lanterns, Lock the Beat","Episode_27_Raise the Lanterns, Lock the Beat.md","February 1, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,26954
28,"When the Machine Doesn&apos;t Believe the News","Episode_28_When the Machine Doesn't Believe the News.md","February 1, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,11064
29,"The Visible Soul Problem","Episode_29_The Visible Soul Problem.md","Pullman’s central trick is not magic. It is governance.","Sociable Systems;AI Governance;Newsletter",Ready,5063
30,"The Bolvangar Procedure","Episode_30_The Bolvangar Procedure.md","Bolvangar is the point in Pullman where the debate ends.","Sociable Systems;AI Governance;Newsletter",Ready,4964
31,"Premature Settling ","Episode_31_Premature Settling .md","In Pullman, a child’s daemon shifts shape. An adult’s daemon settles. Settling is not tragedy. It is maturation. It is an outward sign that a person’s...","Sociable Systems;AI Governance;Newsletter",Ready,5087
32,"The Psychopath Problem What Happens When “Speed Wins” Meets a Country of Geniuses","Episode_32_The Psychopath Problem What Happens When “Speed Wins” Meets a Country of Geniuses.md","February 18, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,13872
33,"The Magisterium’s Burden","Episode_33_The Magisterium’s Burden.md","The most uncomfortable truth in Pullman is that the Magisterium’s fear is sincere.","Sociable Systems;AI Governance;Newsletter",Ready,5066
34,"The Daemon Health Index","Episode_34_The Daemon Health Index.md","Most dashboards are built to answer a financial question.","Sociable Systems;AI Governance;Newsletter",Ready,4059
35,"Before the Damage Becomes Irreversible","Episode_35_Before the Damage Becomes Irreversible.md","Lucas gives you one kind of story: systems that raise.","Sociable Systems;AI Governance;Newsletter",Ready,3302
36,"Sunday Interlude Retroactive Audience","Episode_36_Sunday Interlude Retroactive Audience.md","A sailing lesson is not a speech. It is repetition under pressure until the body learns the motion.","Sociable Systems;AI Governance;Newsletter",Ready,2202
37,"The Teleporter Problem","Episode_37_The Teleporter Problem.md","February 9, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,5963
38,"The Mirror Speaks Framing the Relationship","Episode_38_The Mirror Speaks Framing the Relationship.md","February 10, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,4764
39,"The Red Shirt Problem","Episode_39_The Red Shirt Problem.md","February 11, 2026...","Sociable Systems;AI Governance;Newsletter",Ready,4699
40,"Whistle Mouth Staying Locatable in the Noise","Episode_40_Whistle Mouth Staying Locatable in the Noise.md","Episode 40 Whistle Mouth: Staying Locatable in the Noise...","Sociable Systems;AI Governance;Newsletter",Ready,4688
41,"The Boundary Dissolves in Real Time","Episode_41_The Boundary Dissolves in Real Time.md","Episode 41 Whistle Mouth: Staying Locatable in the Noise...","Sociable Systems;AI Governance;Newsletter",Ready,6766
42,"The Signal Stack Week","Episode_42_The Signal Stack Week.md","Episode 42 The Signal Stack Week...","Sociable Systems;AI Governance;Newsletter",Ready,5778
43,"Meaning Maintenance","Episode_43_Meaning Maintenance.md","Episode 43 Meaning Maintenance...","Sociable Systems;AI Governance;Newsletter",Ready,2955
44,"The Anachronism of Innocence","Episode_44_The Anachronism of Innocence.md","Episode 44 Meaning Maintenance...","Sociable Systems;AI Governance;Newsletter",Ready,7183
45,"The Tactical Ghost","Episode_45_The Tactical Ghost.md","Episode 45 The Tactical Ghost...","Sociable Systems;AI Governance;Newsletter",Ready,13050
46,"The Psychopath&apos;s Confession","Episode_46_The Psychopath's Confession.md","Episode 46 The Psychopath's Confession...","Sociable Systems;AI Governance;Newsletter",Ready,14160
47,"The Discombobulator","Episode_47_The Discombobulator.md","Episode 47 The Discombobulator...","Sociable Systems;AI Governance;Newsletter",Ready,10937
48,"The Audit That Cannot Happenr","Episode_48_The Audit That Cannot Happenr.md","Episode 48 The Audit That Cannot Happen...","Sociable Systems;AI Governance;Newsletter",Ready,5550
49,"The audit trail is the battlefield","Episode_49_The audit trail is the battlefield.md","Episode 49 The audit trail is the battlefield...","Sociable Systems;AI Governance;Newsletter",Ready,4614
50,"Is Connection an Error","Episode_50_Is Connection an Error.md","Episode 50 Is Connection an Error...","Sociable Systems;AI Governance;Newsletter",Ready,8752
51,"On Attention","Episode_51_On Attention.md","Episode 51 On Attention...","Sociable Systems;AI Governance;Newsletter",Ready,8920
52,"The Appliance That Tried to Parent the Neighborhood","Episode_52_The Appliance That Tried to Parent the Neighborhood.md","Episode 52 The Appliance That Tried to Parent the Neighborhood...","Sociable Systems;AI Governance;Newsletter",Ready,7941
53,"The Quantum","Episode_53_The Quantum.md","Episode 53_The Quantum...","Sociable Systems;AI Governance;Newsletter",Ready,3315
54,"D.I. Dimes and the Spreadsheet That Can’t See You","Episode_54_D.I. Dimes and the Spreadsheet That Can’t See You.md","Episode 54_D.I. Dimes and the Spreadsheet That Can’t See You...","Sociable Systems;AI Governance;Newsletter",Ready,7188
55,"D.I. Drafted","Episode_55_D.I. Drafted.md","Episode 55_D.I. Drafted...","Sociable Systems;AI Governance;Newsletter",Ready,8048
56,"When the Spec Sheet Meets the Street","Episode_56_When the Spec Sheet Meets the Street.md","Episode 56_When the Spec Sheet Meets the Street...","Sociable Systems;AI Governance;Newsletter",Ready,8364
57,"Friday at Five","Episode_57_ Friday at Five.md","Episode 57_Friday at Five: When the Clock Ran Out and the Music Didn't Stop...","Sociable Systems;AI Governance;Newsletter",Ready,18618
58,"When the Serpent Learns to Dance","Episode_58_ When the Serpent Learns to Dance.md","Episode 58_When the Serpent Learns to Dance...","Sociable Systems;AI Governance;Newsletter",Ready,5818
